formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max
8a0384c7915b4c4c01915bdf518f5fc0,Badan Nasional Penanggulangan Bencana,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT SISTEM PENANGGULANGAN BENCANA,1,1,5893500,8286200
8a0384c7915b4c4c01915bdfe604605a,Badan Nasional Penanggulangan Bencana,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENCEGAHAN | DIREKTORAT KESIAPSIAGAAN,1,1,5893500,8286200
48668506-97b7-4c86-beb1-c3bbb2c1d5d6,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENCEGAHAN | DIREKTORAT KESIAPSIAGAAN,2,1,5893500,8286200
88854468-e609-49ea-bf02-bfb7ffd2f565,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PERENCANAAN REHABILITASI DAN REKONSTRUKSI,2,1,5893500,8286200
8a944008-baee-41ae-8b4a-032c23f1fc1a,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT PEMETAAN DAN EVALUASI RISIKO BENCANA,1,1,5893500,8286200
97f536dd-dd52-4c1c-88f1-8ac275d39ca7,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENANGANAN DARURAT | DIREKTORAT DUKUNGAN SUMBER DAYA DARURAT,2,1,5893500,8286200
b6a5d04d-4b1a-4828-9079-14eb42079adc,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PEMULIHAN DAN PENINGKATAN FISIK,1,1,5893500,8286200
baa885f8-6cc9-4314-a5e4-df697124fb24,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PEMULIHAN DAN PENINGKATAN SOSIAL,2,1,5893500,8286200
cc21f45f-39c1-4336-8fd3-5051efdac0f0,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT SISTEM PENANGGULANGAN BENCANA,3,1,5893500,8286200
e68d8e9e-2dc0-4b95-b7b7-d972ee38230d,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENCEGAHAN | DIREKTORAT MITIGASI BENCANA,2,1,5893500,8286200
e76d6604-ce35-4563-87c7-3ac74468f83e,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT PENGEMBANGAN STRATEGI PENANGGULANGAN BENCANA,1,1,5893500,8286200
35428161-6a07-4c76-9dc7-c146a258dcb9,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG LOGISTIK DAN PERALATAN | DIREKTORAT OPTIMASI JARINGAN LOGISTIK DAN PERALATAN,2,1,5893500,8286200
3a961844-fcc6-4f3f-ad0c-4a8c34243bd0,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PERENCANAAN REHABILITASI DAN REKONSTRUKSI,1,1,5893500,8286200
