formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_max,gaji_min
8a018692915486670191554dfff913bd,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Banten,1,1,9024448,2785700
8a018692915486670191554f72881562,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Selatan,1,1,9024448,2785700
8a018692915486670191554fc29a164c,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Utara,1,1,9024448,2785700
8a03849f914ed85101914fa815007eac,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,BKKBN Pusat,23,1,9024448,2785700
8a0384b4915028740191514d495b3cb3,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Aceh,1,1,9024448,2785700
8a0384b4915028740191515589183dc6,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Bali,2,1,9024448,2785700
8a0384b49150287401915396c1426822,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Banten,2,1,9024448,2785700
8a0384b491502874019153bfe1db07c8,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Bengkulu,2,1,9024448,2785700
8a0384b491502874019153c763850eb3,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi D.I Yogyakarta,2,1,9024448,2785700
8a0384b491502874019153e2d6701a7a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Gorontalo,1,1,9024448,2785700
8a0384b49150287401915417932730c9,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jambi,2,1,9024448,2785700
8a0384b4915028740191542557c53a3f,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Barat,2,1,9024448,2785700
8a0384b4915028740191542f15374326,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Utara,2,1,9024448,2785700
8a0384b49150287401915437d21e4d3a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Selatan,1,1,9024448,2785700
8a0384b4915028740191543ec24d5473,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Barat,2,1,9024448,2785700
8a0384b491502874019154479eb56161,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Utara,2,1,9024448,2785700
8a018692915486670191555b9b8b2228,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PUTRA/PUTRI KALIMANTAN,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,BKKBN Pusat,2,1,9024448,2785700
8a028492914fb63b01914fca028f1ab6,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,BKKBN Pusat,36,1,9024448,2785700
8a028490914aa6ad01914ab718a40ae2,Badan Meteorologi,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,UMUM,Klimatologi dan Geofisika,11,CPNS,0,8500000,5500000
8a0186cc9159ace501915a7f336513bc,Badan Meteorologi,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,PENYANDANG DISABILITAS,Klimatologi dan Geofisika,1,CPNS,1,8500000,5500000
8a028490914aa6ad01914abbdf2d0e40,Badan Meteorologi,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,UMUM,Klimatologi dan Geofisika,11,CPNS,0,8500000,5500000
8a0186929154866701915512870346fa,Badan Narkotika Nasional,CPNS,PENYANDANG DISABILITAS,ANALIS ANGGARAN AHLI PERTAMA,BADAN NARKOTIKA NASIONAL | SEKRETARIAT UTAMA | BIRO PERENCANAAN,1,1,9300000,8700000
42aa957d-b586-4cc2-ae92-8056b0256601,Badan Narkotika Nasional,CPNS,UMUM,ANALIS ANGGARAN AHLI PERTAMA,BADAN NARKOTIKA NASIONAL | SEKRETARIAT UTAMA | BIRO PERENCANAAN,3,0,9300000,8700000
546b534d-0185-4a4f-a10e-0c3f15071850,Badan Narkotika Nasional,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,BADAN NARKOTIKA NASIONAL | SEKRETARIAT UTAMA | BIRO UMUM,1,0,9300000,8700000
9ba29837-1521-4c54-9e3c-a4d0ef219ce6,Badan Narkotika Nasional,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,BADAN NARKOTIKA NASIONAL | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,1,0,9300000,8700000
a296f5a7-7783-4984-838b-f1f9de64ed1f,Badan Nasional Penanggulangan Bencana,CPNS,UMUM,ANALIS ANGGARAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | PUSAT PENDIDIKAN DAN PELATIHAN PENANGGULANGAN BENCANA | SUBBAGIAN TATA USAHA,2,1,8286200,5893500
8a0384c7915b4c4c01915bdf518f5fc0,Badan Nasional Penanggulangan Bencana,CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT SISTEM PENANGGULANGAN BENCANA,1,1,8286200,5893500
